Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:01036009


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
1036009;1;01/02/1998;1;2,4;2,6;27;2;1;1;1;;0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/01/1998;1;14,0;35,0;22;8;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,8;0,2;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;14,0;0,0;0,9;0,0;0,0;0,0;0,0;2,9;3,2;8,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/12/1997;1;10,0;31,8;29;5;1;1;1;;0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,6;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;3,2;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/11/1997;1;2,4;2,4;17;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/10/1997;1;0,3;0,3;10;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/09/1997;1;3,0;3,0;28;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/08/1997;1;8,0;66,5;28;20;1;1;1;;0;0,8;1,0;0,0;0,5;3,2;4,8;5,0;0,0;3,8;5,5;2,0;7,0;0,0;1,9;4,0;2,2;2,8;2,2;1,8;3,8;0,0;0,0;0,0;0,0;0,0;0,0;4,6;8,0;0,0;0,0;1,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/07/1997;1;9,8;92,8;1;29;1;1;1;;0;9,8;3,9;0,6;6,2;2,8;0,2;5,9;0,2;0,5;3,9;6,8;4,0;0,8;2,1;0,0;3,0;7,2;4,0;2,0;3,8;4,0;0,8;1,0;2,8;0,3;4,2;3,0;0,6;0,0;3,6;4,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/06/1997;1;9,4;76,8;20;17;1;1;1;;0;3,8;8,0;6,8;6,2;5,5;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;6,8;3,5;0,0;5,0;2,2;9,4;0,8;0,0;0,0;2,8;0,5;0,0;0,0;4,9;2,5;7,9;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/05/1997;1;10,8;99,6;5;23;1;1;1;;0;3,0;4,2;6,9;4,0;10,8;1,8;9,0;7,4;4,9;0,8;1,2;3,9;0,0;0,0;0,0;2,5;4,0;8,2;3,9;6,0;0,0;3,2;7,0;2,9;1,0;0,0;0,0;0,8;2,2;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/04/1997;1;10,2;90,9;25;21;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;1,8;7,3;8,9;6,0;2,0;1,2;8,0;1,0;5,9;0,0;7,0;6,4;0,0;0,5;0,3;0,0;4,7;6,5;0,8;10,2;8,0;0,4;1,2;0,0;2,8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/03/1997;1;70,0;102,2;23;10;1;1;1;;0;0,0;0,0;0,0;2,4;3,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;70,0;8,2;4,0;7,0;1,2;0,0;0,0;0,8;2,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/02/1997;1;8,2;26,2;15;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;7,0;0,0;2,8;0,0;0,0;0,0;1,0;0,0;0,4;8,2;6,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/01/1997;1;10,6;38,9;8;8;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;10,6;0,1;0,0;0,0;0,0;0,0;4,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,8;1,0;5,2;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/12/1996;1;8,2;19,8;17;6;1;1;1;;0;2,0;0,0;1,2;6,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,2;0,4;0,0;0,0;0,0;0,0;0,0;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/11/1996;1;10,8;28,9;30;9;1;1;1;;0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;1,0;6,3;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,3;0,0;0,0;2,5;6,2;10,8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/10/1996;1;8,0;13,0;20;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;3,2;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/09/1996;1;7,2;34,9;13;14;1;1;1;;0;0,8;0,0;5,2;4,0;0,0;2,8;3,2;0,8;2,0;0,0;2,1;2,1;7,2;3,0;0,2;0,0;0,0;0,0;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/08/1995;1;22,8;98,5;11;25;1;1;1;;0;0,0;0,1;1,8;6,5;0,0;0,0;2,1;4,1;1,5;1,4;22,8;1,2;0,8;10,0;0,0;0,0;2,2;0,0;3,1;1,6;0,7;15,2;0,6;0,8;3,2;0,9;6,8;1,0;0,2;2,1;7,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036009;1;01/01/1995;1;1,9;3,1;12;3;1;1;0;;0;1,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036009;1;01/12/1994;1;8,0;17,2;12;4;1;1;0;725,5;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;7,2;8,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
