Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:01036008


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
1036008;1;01/01/2001;1;3,9;7,7;18;4;1;1;1;;0;0,0;0,0;0,0;1,8;0,0;0,0;0,0;1,7;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036008;1;01/12/2000;1;24,4;61,7;16;7;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;4,0;8,0;4,5;24,4;18,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036008;1;01/10/2000;1;0,8;1,4;21;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,6;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036008;1;01/09/2000;1;15,5;57,2;8;9;1;1;1;;0;0,0;0,0;0,0;4,1;0,0;0,0;0,0;15,5;4,2;0,0;11,1;14,4;5,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;1,0;0,0;1,1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036008;1;01/08/2000;1;10,2;68,1;6;19;1;1;1;;0;4,3;2,1;1,8;2,0;7,3;10,2;2,1;1,1;1,2;0,8;0,0;0,0;0,0;8,9;0,3;0,0;0,0;2,0;0,0;0,0;2,2;0,0;0,0;0,0;1,8;4,9;8,2;5,1;1,8;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036008;1;01/07/2000;1;24,0;126,9;27;20;1;1;1;;0;0,0;10,1;10,7;1,6;1,2;1,4;2,7;0,0;4,3;6,1;5,8;0,0;3,2;0,0;2,3;6,4;9,1;0,0;2,7;10,2;0,0;0,0;0,0;1,4;0,0;0,0;24,0;0,0;10,0;1,6;12,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036008;1;01/06/2000;1;19,2;161,9;26;24;1;1;1;;0;0,0;2,8;0,0;4,0;7,1;13,4;6,9;0,0;9,2;6,5;7,0;10,1;6,3;4,3;5,7;0,0;10,0;7,1;4,2;0,0;5,3;4,1;0,0;6,8;8,4;19,2;8,3;1,7;1,1;2,4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036008;1;01/05/2000;1;16,2;129,0;2;21;1;1;1;;0;10,0;16,2;2,0;4,6;0,0;9,1;6,0;4,0;1,0;0,8;6,3;2,9;8,6;3,1;5,5;6,0;14,0;8,4;0,0;0,0;4,0;10,2;0,0;0,0;0,0;0,0;1,8;0,0;0,0;4,5;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036008;1;01/04/2000;1;28,2;198,4;15;23;1;1;1;;0;10,0;9,7;8,6;3,4;3,6;9,5;1,1;7,2;1,3;0,0;0,0;13,2;12,6;10,3;28,2;5,4;5,0;14,0;0,0;0,0;2,4;0,0;0,0;4,3;8,1;4,4;0,0;26,3;1,8;8,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1036008;1;01/03/2000;1;58,7;206,3;31;17;1;1;1;;0;0,0;2,1;0,0;55,0;7,1;2,1;3,0;0,0;5,1;0,0;0,0;3,5;1,9;0,0;0,0;0,0;6,8;0,0;0,0;4,9;10,5;0,0;9,6;8,1;0,0;2,7;0,0;15,2;10,0;0,0;58,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
